                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6194,                0.74933,                0.97844,                 1.8006,             0.00023737,             0.00023737,             0.00023737
                      2,                0.65649,                0.85445,                 0.9973,                 1.6603,             0.00046681,             0.00046681,             0.00046681
                      3,                0.45355,                0.89623,                 0.9973,                 1.6208,             0.00068769,             0.00068769,             0.00068769
                      4,                0.37053,                0.89218,                 0.9973,                 1.5898,             0.00067544,             0.00067544,             0.00067544
                      5,                0.29889,                0.89757,                      1,                 1.5883,             0.00066259,             0.00066259,             0.00066259
                      6,                0.25211,                0.91105,                 0.9973,                 1.5692,             0.00064974,             0.00064974,             0.00064974
                      7,                0.20205,                 0.9124,                      1,                 1.5652,             0.00063689,             0.00063689,             0.00063689
                      8,                0.17197,                0.90431,                      1,                 1.5715,             0.00062404,             0.00062404,             0.00062404
                      9,                 0.1587,                0.92183,                      1,                 1.5636,             0.00061118,             0.00061118,             0.00061118
                     10,                 0.1304,                0.93396,                      1,                 1.5357,             0.00059833,             0.00059833,             0.00059833
                     11,                0.12025,                0.91375,                      1,                 1.5596,             0.00058548,             0.00058548,             0.00058548
                     12,                0.10953,                0.91375,                 0.9973,                 1.5577,             0.00057263,             0.00057263,             0.00057263
                     13,                0.11357,                0.90566,                      1,                 1.5751,             0.00055978,             0.00055978,             0.00055978
                     14,                0.09835,                0.90836,                 0.9973,                 1.5578,             0.00054692,             0.00054692,             0.00054692
                     15,                0.09175,                0.91644,                 0.9973,                 1.5541,             0.00053407,             0.00053407,             0.00053407
                     16,                0.08743,                0.90027,                      1,                 1.5674,             0.00052122,             0.00052122,             0.00052122
                     17,                0.07712,                 0.9124,                      1,                 1.5501,             0.00050837,             0.00050837,             0.00050837
                     18,                0.07599,                0.89892,                      1,                 1.5654,             0.00049552,             0.00049552,             0.00049552
                     19,                0.06962,                0.91644,                      1,                 1.5599,             0.00048266,             0.00048266,             0.00048266
                     20,                0.06687,                0.94879,                      1,                 1.5341,             0.00046981,             0.00046981,             0.00046981
                     21,                0.06807,                0.91914,                 0.9973,                 1.5536,             0.00045696,             0.00045696,             0.00045696
                     22,                0.06946,                0.93531,                      1,                 1.5387,             0.00044411,             0.00044411,             0.00044411
                     23,                0.05389,                0.92453,                      1,                 1.5516,             0.00043126,             0.00043126,             0.00043126
                     24,                0.04936,                0.92183,                      1,                 1.5477,              0.0004184,              0.0004184,              0.0004184
                     25,                 0.0537,                0.91914,                0.99461,                 1.5528,             0.00040555,             0.00040555,             0.00040555
                     26,                0.03986,                0.92992,                 0.9973,                 1.5517,              0.0003927,              0.0003927,              0.0003927
                     27,                0.04544,                0.90566,                      1,                  1.553,             0.00037985,             0.00037985,             0.00037985
                     28,                0.04138,                0.93801,                 0.9973,                 1.5359,               0.000367,               0.000367,               0.000367
                     29,                0.03191,                0.92992,                 0.9973,                 1.5373,             0.00035414,             0.00035414,             0.00035414
                     30,                0.03324,                0.93801,                 0.9973,                 1.5333,             0.00034129,             0.00034129,             0.00034129
                     31,                0.03432,                0.91644,                 0.9973,                 1.5474,             0.00032844,             0.00032844,             0.00032844
                     32,                 0.0378,                0.91914,                 0.9973,                 1.5458,             0.00031559,             0.00031559,             0.00031559
                     33,                0.02915,                0.92183,                      1,                 1.5457,             0.00030274,             0.00030274,             0.00030274
                     34,                 0.0257,                0.91105,                      1,                 1.5505,             0.00028988,             0.00028988,             0.00028988
                     35,                0.02984,                0.90836,                 0.9973,                 1.5599,             0.00027703,             0.00027703,             0.00027703
                     36,                0.02739,                0.92183,                0.99461,                 1.5478,             0.00026418,             0.00026418,             0.00026418
                     37,                0.02942,                0.91105,                      1,                 1.5548,             0.00025133,             0.00025133,             0.00025133
                     38,                0.02256,                0.91105,                      1,                 1.5617,             0.00023848,             0.00023848,             0.00023848
                     39,                0.02628,                0.91375,                 0.9973,                 1.5483,             0.00022562,             0.00022562,             0.00022562
                     40,                0.02341,                0.91644,                      1,                 1.5521,             0.00021277,             0.00021277,             0.00021277
                     41,                0.01948,                0.92992,                 0.9973,                 1.5431,             0.00019992,             0.00019992,             0.00019992
                     42,                0.02142,                0.91914,                      1,                 1.5408,             0.00018707,             0.00018707,             0.00018707
                     43,                0.02144,                0.92722,                      1,                  1.535,             0.00017422,             0.00017422,             0.00017422
                     44,                0.01989,                 0.9407,                 0.9973,                 1.5284,             0.00016136,             0.00016136,             0.00016136
                     45,                0.01629,                0.92722,                      1,                 1.5393,             0.00014851,             0.00014851,             0.00014851
                     46,                0.01446,                0.92453,                 0.9973,                 1.5404,             0.00013566,             0.00013566,             0.00013566
                     47,                0.01498,                0.93261,                      1,                 1.5326,             0.00012281,             0.00012281,             0.00012281
                     48,                0.01535,                0.91375,                 0.9973,                 1.5382,             0.00010996,             0.00010996,             0.00010996
                     49,                0.01401,                0.92992,                 0.9973,                 1.5344,             9.7104e-05,             9.7104e-05,             9.7104e-05
                     50,                0.01423,                0.92992,                 0.9973,                 1.5351,             8.4252e-05,             8.4252e-05,             8.4252e-05
                     51,                0.01126,                0.92722,                 0.9973,                 1.5422,               7.14e-05,               7.14e-05,               7.14e-05
                     52,                 0.0113,                0.91375,                 0.9973,                 1.5383,             5.8548e-05,             5.8548e-05,             5.8548e-05
                     53,                0.01341,                0.91914,                      1,                 1.5395,             4.5696e-05,             4.5696e-05,             4.5696e-05
                     54,                0.01432,                0.92722,                      1,                 1.5341,             3.2844e-05,             3.2844e-05,             3.2844e-05
                     55,                0.01425,                0.92453,                 0.9973,                 1.5365,             1.9992e-05,             1.9992e-05,             1.9992e-05
